Date,Day,Day_of_Week,Week,Month,Year,Season,Festival,Category,Product,Cost_Price,Selling_Price,Margin_%,Discount_%,Current_Stock,Reorder_Level,Lead_Time_Days,Holding_Cost_Per_Unit,Supplier_Reliability,Investment,Revenue,Profit,Units_Sold
2022-01-01,1,5,52,1,2022,Winter,None,FMCG,Soap Lux,22,32,45.45,10,182,150,3,0.44,0.71,550,720.0,170.0,25
2022-01-01,1,5,52,1,2022,Winter,None,Grocery,Wheat Flour 10kg,320,385,20.31,0,46,40,3,6.4,0.87,19840,23870.0,4030.0,62
2022-01-01,1,5,52,1,2022,Winter,None,Electronics,Fan Table,850,1350,58.82,15,36,8,7,17.0,0.88,102850,138847.5,35997.5,121
2022-01-01,1,5,52,1,2022,Winter,None,Electronics,Power Bank 10000mAh,650,1099,69.08,20,25,15,6,13.0,0.91,5850,7912.8,2062.8,9
2022-01-01,1,5,52,1,2022,Winter,None,Electronics,USB Cable,45,89,97.78,0,245,50,4,0.9,0.8,2610,5162.0,2552.0,58
2022-01-01,1,5,52,1,2022,Winter,None,FMCG,Shampoo Head&Shoulders,85,115,35.29,0,256,80,4,1.7,0.88,5865,7935.0,2070.0,69
2022-01-01,1,5,52,1,2022,Winter,None,FMCG,Biscuit Parle-G,8,12,50.0,20,749,200,2,0.16,0.74,136,163.2,27.2,17
2022-01-01,1,5,52,1,2022,Winter,None,Fashion,Kurta Women,280,549,96.07,5,100,20,5,5.6,0.89,9800,18254.25,8454.25,35
2022-01-02,2,6,52,1,2022,Winter,None,Grocery,Eid Special Dates,280,450,60.71,0,137,40,4,5.6,0.78,19600,31500.0,11900.0,70
2022-01-02,2,6,52,1,2022,Winter,None,Electronics,Smartphone Redmi,8500,10999,29.4,15,32,10,7,170.0,0.76,629000,691837.1,62837.1,74
2022-01-02,2,6,52,1,2022,Winter,None,Grocery,Salt 1kg,18,25,38.89,0,207,120,2,0.36,0.86,468,650.0,182.0,26
2022-01-02,2,6,52,1,2022,Winter,None,Grocery,Sunflower Oil 1L,120,148,23.33,0,129,60,4,2.4,1.0,5280,6512.0,1232.0,44
2022-01-02,2,6,52,1,2022,Winter,None,Electronics,USB Cable,45,89,97.78,15,133,50,4,0.9,0.95,5130,8624.1,3494.1,114
2022-01-03,3,0,1,1,2022,Winter,None,Electronics,USB Cable,45,89,97.78,0,195,50,4,0.9,0.96,2160,4272.0,2112.0,48
2022-01-03,3,0,1,1,2022,Winter,None,Grocery,Sunflower Oil 1L,120,148,23.33,0,161,60,4,2.4,0.97,5640,6956.0,1316.0,47
2022-01-03,3,0,1,1,2022,Winter,None,Fashion,Saree Cotton,350,699,99.71,15,23,15,7,7.0,0.77,33950,57632.55,23682.55,97
2022-01-04,4,1,1,1,2022,Winter,None,FMCG,Kite + String,25,55,120.0,0,613,300,2,0.5,0.89,375,825.0,450.0,15
2022-01-04,4,1,1,1,2022,Winter,None,Electronics,LED Bulb 9W,48,85,77.08,20,138,40,4,0.96,0.81,3792,5372.0,1580.0,79
2022-01-04,4,1,1,1,2022,Winter,None,Agriculture,Wheat Seeds 1kg,65,95,46.15,5,100,30,5,1.3,0.96,5460,7581.0,2121.0,84
2022-01-04,4,1,1,1,2022,Winter,None,Stationery,Pencil Box,35,55,57.14,0,354,80,3,0.7,0.93,770,1210.0,440.0,22
2022-01-04,4,1,1,1,2022,Winter,None,Stationery,Notebook A4,28,45,60.71,20,322,100,3,0.56,0.75,1232,1584.0,352.0,44
2022-01-04,4,1,1,1,2022,Winter,None,Electronics,USB Cable,45,89,97.78,0,245,50,4,0.9,0.75,2610,5162.0,2552.0,58
2022-01-04,4,1,1,1,2022,Winter,None,FMCG,Shampoo Head&Shoulders,85,115,35.29,0,339,80,4,1.7,0.88,4930,6670.0,1740.0,58
2022-01-05,5,2,1,1,2022,Winter,None,Stationery,Notebook A4,28,45,60.71,10,157,100,3,0.56,0.98,1400,2025.0,625.0,50
2022-01-05,5,2,1,1,2022,Winter,None,FMCG,Detergent Surf 1kg,95,125,31.58,20,213,90,3,1.9,0.96,4465,4700.0,235.0,47
2022-01-05,5,2,1,1,2022,Winter,None,FMCG,Kite + String,25,55,120.0,0,441,300,2,0.5,0.99,475,1045.0,570.0,19
2022-01-05,5,2,1,1,2022,Winter,None,FMCG,Crackers Box,200,380,90.0,10,343,100,3,4.0,0.98,4200,7182.0,2982.0,21
2022-01-06,6,3,1,1,2022,Winter,None,Electronics,LED Bulb 9W,48,85,77.08,20,142,40,4,0.96,1.0,2016,2856.0,840.0,42
2022-01-06,6,3,1,1,2022,Winter,None,FMCG,Crackers Box,200,380,90.0,15,364,100,3,4.0,0.84,12000,19380.0,7380.0,60
2022-01-06,6,3,1,1,2022,Winter,None,Agriculture,Wheat Seeds 1kg,65,95,46.15,0,32,30,5,1.3,0.88,2275,3325.0,1050.0,35
