product_name,category,cost_price,selling_price,discount_pct,units_sold,current_stock,reorder_level,lead_time_days,holding_cost,supplier_reliability,season,festival,region,margin_pct,revenue,profit,investment,month,year,day,day_of_week,week,quarter,is_weekend,is_festival,price_ratio,stock_buffer,date
Basmati Rice 5kg,Grocery,280,340,0,120,126,34,7,4.2,0.9,Winter,None,Central India,21.43,40800.0,7200.0,33600,1,2023,1,6,1,1,1,0,1.214,92,2023-01-01
Atta Aashirvaad 10kg,Grocery,330,390,0,111,40,38,5,4.95,0.8,Winter,None,Central India,18.18,43290.0,6660.0,36630,1,2023,1,6,1,1,1,0,1.182,2,2023-01-01
Toor Dal 1kg,Grocery,130,155,0,78,171,30,2,1.95,0.92,Winter,None,Central India,19.23,12090.0,1950.0,10140,1,2023,1,6,1,1,1,0,1.192,141,2023-01-01
Chana Dal 1kg,Grocery,90,112,0,70,277,24,7,1.35,0.88,Winter,None,Central India,24.44,7840.0,1540.0,6300,1,2023,1,6,1,1,1,0,1.244,253,2023-01-01
Mustard Oil 1L,Grocery,155,185,0,91,189,28,7,2.32,0.88,Winter,None,Central India,19.35,16835.0,2730.0,14105,1,2023,1,6,1,1,1,0,1.194,161,2023-01-01
Refined Oil Soya 5L,Grocery,580,680,0,46,207,20,7,8.7,0.95,Winter,None,Central India,17.24,31280.0,4600.0,26680,1,2023,1,6,1,1,1,0,1.172,187,2023-01-01
Sugar 1kg,Grocery,42,50,0,151,70,48,3,0.63,0.95,Winter,None,Central India,19.05,7550.0,1208.0,6342,1,2023,1,6,1,1,1,0,1.19,22,2023-01-01
Salt Tata 1kg,Grocery,18,22,0,86,263,36,7,0.27,0.75,Winter,None,Central India,22.22,1892.0,344.0,1548,1,2023,1,6,1,1,1,0,1.222,227,2023-01-01
Poha 500g,Grocery,28,36,0,56,40,22,1,0.42,0.95,Winter,None,Central India,28.57,2016.0,448.0,1568,1,2023,1,6,1,1,1,0,1.286,18,2023-01-01
Maida 1kg,Grocery,32,40,0,57,293,18,3,0.48,0.75,Winter,None,Central India,25.0,2280.0,456.0,1824,1,2023,1,6,1,1,1,0,1.25,275,2023-01-01
Besan 500g,Grocery,38,48,0,42,111,16,5,0.57,0.88,Winter,None,Central India,26.32,2016.0,420.0,1596,1,2023,1,6,1,1,1,0,1.263,95,2023-01-01
Rajma 500g,Grocery,65,82,0,59,283,14,5,0.97,0.85,Winter,None,Central India,26.15,4838.0,1003.0,3835,1,2023,1,6,1,1,1,0,1.262,269,2023-01-01
Haldi Powder 100g,Grocery,28,38,0,47,21,20,4,0.42,0.92,Winter,None,Central India,35.71,1786.0,470.0,1316,1,2023,1,6,1,1,1,0,1.357,1,2023-01-01
Red Chilli Powder 100g,Grocery,30,42,0,51,73,19,2,0.45,0.88,Winter,None,Central India,40.0,2142.0,612.0,1530,1,2023,1,6,1,1,1,0,1.4,54,2023-01-01
Coriander Powder 100g,Grocery,22,32,0,46,290,18,7,0.33,0.92,Winter,None,Central India,45.45,1472.0,460.0,1012,1,2023,1,6,1,1,1,0,1.455,272,2023-01-01
