id,product_name,category,cost_price,selling_price,discount_pct,units_sold,current_stock,reorder_level,lead_time_days,holding_cost,supplier_reliability,season,festival,margin_pct,revenue,profit,investment,month,year,day,day_of_week,week,quarter,is_weekend,is_festival,price_ratio,stock_buffer,date,shop_name,location,region
0,Maggi Noodles 70g,FMCG,12,15,0,301,179,54,7,0.18,0.8,Winter,Christmas,25.0,4515.0,903.0,3612,12,2023,18,4,3,4,0,1,1.25,125,2023-12-18,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
1,Masoor Dal 500g,Grocery,60,78,0,35,219,17,3,0.9,0.95,Rainy,None,30.0,2730.0,630.0,2100,6,2023,1,1,1,2,0,0,1.3,202,2023-06-01,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
2,Apsara Pencil 10pc,Stationery,15,22,0,68,302,31,2,0.22,0.95,Rainy,None,46.67,1496.0,476.0,1020,6,2023,21,0,3,2,0,0,1.467,271,2023-06-21,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
3,Paneer 200g,Grocery,85,105,2,89,130,23,3,1.27,0.88,Winter,Valentine's Day,23.53,9158.1,1593.1,7565,2,2023,21,0,3,1,0,1,1.235,107,2023-02-21,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
4,Maida 1kg,Grocery,32,40,0,41,327,22,3,0.48,0.75,Summer,None,25.0,1640.0,328.0,1312,3,2023,19,5,3,1,1,0,1.25,305,2023-03-19,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
5,Toor Dal 1kg,Grocery,130,155,0,66,250,29,3,1.95,0.92,Rainy,None,19.23,10230.0,1650.0,8580,7,2023,15,1,3,3,0,0,1.192,221,2023-07-15,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
6,Eveready Battery AA 4pc,Electronics,55,75,0,42,341,15,3,0.82,0.9,Rainy,None,36.36,3150.0,840.0,2310,6,2023,12,5,2,2,1,0,1.364,326,2023-06-12,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
7,Urea Fertilizer 1kg,Agriculture,35,50,0,84,267,16,2,0.53,0.9,Rainy,Raksha Bandhan,42.86,4200.0,1260.0,2940,8,2023,9,2,2,3,0,1,1.429,251,2023-08-09,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
8,Kurta Men Cotton,Fashion,195,320,0,18,93,10,2,2.92,0.92,Rainy,None,64.1,5760.0,2250.0,3510,6,2023,13,6,2,2,1,0,1.641,83,2023-06-13,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
9,Mosquito Coil 10pc,FMCG,32,45,0,67,265,22,2,0.48,0.9,Autumn,Diwali,40.62,3015.0,871.0,2144,10,2024,11,4,2,4,0,1,1.406,243,2024-10-11,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
10,Soya Chunks 200g,Grocery,35,48,0,56,72,16,3,0.53,0.7,Winter,None,37.14,2688.0,728.0,1960,2,2024,13,6,2,1,1,0,1.371,56,2024-02-13,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
11,Atta Aashirvaad 10kg,Grocery,330,390,0,110,117,34,3,4.95,0.8,Winter,Valentine's Day,18.18,42900.0,6600.0,36300,2,2023,25,4,4,1,0,1,1.182,83,2023-02-25,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
12,Kurta Men Cotton,Fashion,195,320,8,21,36,10,7,2.92,0.8,Summer,Holi,64.1,6182.4,2087.4,4095,3,2023,24,3,4,1,0,1,1.641,26,2023-03-24,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
13,Frooti 200ml,FMCG,12,15,5,229,161,118,3,0.18,0.9,Winter,Chhath Puja,25.0,3263.25,515.25,2748,11,2023,3,3,1,4,0,1,1.25,43,2023-11-03,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
14,Surf Excel 1kg,FMCG,130,165,0,53,316,25,3,1.95,0.7,Winter,Christmas,26.92,8745.0,1855.0,6890,12,2023,19,5,3,4,1,1,1.269,291,2023-12-19,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
15,Maggi Noodles 70g,FMCG,12,15,0,171,207,70,3,0.18,0.9,Summer,Baisakhi,25.0,2565.0,513.0,2052,4,2023,21,0,3,2,0,1,1.25,137,2023-04-21,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
16,Diya Set 12pc,FMCG,38,65,0,166,281,10,5,0.57,0.85,Autumn,Diwali,71.05,10790.0,4482.0,6308,10,2023,25,4,4,4,0,1,1.711,271,2023-10-25,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
17,Apsara Pencil 10pc,Stationery,15,22,0,61,188,23,3,0.22,0.9,Autumn,Ganesh Chaturthi,46.67,1342.0,427.0,915,9,2023,25,4,4,3,0,1,1.467,165,2023-09-25,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
18,Socks Cotton 3 pair,Fashion,55,80,0,31,227,14,3,0.82,0.98,Autumn,Ganesh Chaturthi,45.45,2480.0,775.0,1705,9,2024,6,6,1,3,1,1,1.455,213,2024-09-06,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
19,Salwar Suit Cotton,Fashion,280,450,0,28,247,10,2,4.2,0.98,Autumn,Diwali,60.71,12600.0,4760.0,7840,10,2023,27,6,4,4,1,1,1.607,237,2023-10-27,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
20,Maaza 250ml,FMCG,18,22,0,252,292,85,7,0.27,0.8,Rainy,None,22.22,5544.0,1008.0,4536,7,2024,7,0,1,3,0,0,1.222,207,2024-07-07,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
21,Extension Cord 5m,Electronics,175,240,0,19,55,10,3,2.62,0.7,Winter,Children's Day,37.14,4560.0,1235.0,3325,11,2024,25,4,4,4,0,1,1.371,45,2024-11-25,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
22,Sugar 1kg,Grocery,42,50,0,191,214,42,7,0.63,0.75,Rainy,Raksha Bandhan,19.05,9550.0,1528.0,8022,8,2024,9,2,2,3,0,1,1.19,172,2024-08-09,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
23,Gulal Colors 100g,FMCG,22,40,0,5,269,10,3,0.33,0.7,Summer,Baisakhi,81.82,200.0,90.0,110,4,2024,26,5,4,2,1,1,1.818,259,2024-04-26,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
24,Paneer 200g,Grocery,85,105,15,56,39,18,1,1.27,0.92,Summer,Holi,23.53,4998.0,238.0,4760,3,2023,21,0,3,1,0,1,1.235,21,2023-03-21,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
25,Lux Soap 75g,FMCG,32,42,0,52,305,32,1,0.48,0.75,Rainy,None,31.25,2184.0,520.0,1664,8,2024,16,2,3,3,0,0,1.312,273,2024-08-16,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
26,Refined Oil Soya 5L,Grocery,580,680,0,43,164,21,4,8.7,0.98,Rainy,None,17.24,29240.0,4300.0,24940,6,2023,13,6,2,2,1,0,1.172,143,2023-06-13,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
27,Socks Cotton 3 pair,Fashion,55,80,0,35,175,14,5,0.82,0.7,Summer,None,45.45,2800.0,875.0,1925,3,2024,8,1,2,1,0,0,1.455,161,2024-03-08,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
28,Extension Cord 5m,Electronics,175,240,0,22,86,10,4,2.62,0.8,Summer,Holi,37.14,5280.0,1430.0,3850,3,2023,28,0,4,1,0,1,1.371,76,2023-03-28,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
29,Stapler Small,Stationery,45,65,10,23,163,10,3,0.67,0.7,Summer,Labour Day,44.44,1345.5,310.5,1035,5,2024,21,0,3,2,0,1,1.444,153,2024-05-21,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
30,Sooji 500g,Grocery,24,32,10,42,134,17,7,0.36,0.95,Autumn,Ganesh Chaturthi,33.33,1209.6,201.6,1008,9,2024,16,2,3,3,0,1,1.333,117,2024-09-16,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
31,Atta Aashirvaad 10kg,Grocery,330,390,0,129,211,29,7,4.95,0.98,Rainy,Independence Day,18.18,50310.0,7740.0,42570,8,2023,6,6,1,3,1,1,1.182,182,2023-08-06,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
32,Sooji 500g,Grocery,24,32,5,53,265,16,3,0.36,0.9,Rainy,None,33.33,1611.2,339.2,1272,7,2023,9,2,2,3,0,0,1.333,249,2023-07-09,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
33,Soya Chunks 200g,Grocery,35,48,0,42,126,11,3,0.53,0.7,Summer,None,37.14,2016.0,546.0,1470,3,2024,11,4,2,1,0,0,1.371,115,2024-03-11,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
34,Pepsodent 200g,FMCG,75,92,0,54,81,17,1,1.12,0.75,Rainy,None,22.67,4968.0,918.0,4050,6,2023,13,6,2,2,1,0,1.227,64,2023-06-13,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
35,Surf Excel 1kg,FMCG,130,165,0,74,253,25,2,1.95,0.95,Winter,None,26.92,12210.0,2590.0,9620,2,2024,2,2,1,1,0,0,1.269,228,2024-02-02,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
36,Hide & Seek 100g,FMCG,32,45,0,56,178,26,1,0.48,0.7,Rainy,None,40.62,2520.0,728.0,1792,7,2024,22,1,4,3,0,0,1.406,152,2024-07-22,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
37,Soya Chunks 200g,Grocery,35,48,0,33,284,14,4,0.53,0.8,Winter,Makar Sankranti,37.14,1584.0,429.0,1155,1,2024,1,1,1,1,0,1,1.371,270,2024-01-01,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
38,Earphones Basic,Electronics,85,140,0,39,32,11,2,1.27,0.88,Winter,None,64.71,5460.0,2145.0,3315,12,2024,6,6,1,4,1,0,1.647,21,2024-12-06,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
39,ORS Sachets 5pc,FMCG,22,30,10,86,35,17,1,0.33,0.8,Summer,Labour Day,36.36,2322.0,430.0,1892,5,2023,26,5,4,2,1,1,1.364,18,2023-05-26,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
40,Coriander Powder 100g,Grocery,22,32,0,55,266,20,4,0.33,0.92,Autumn,Ganesh Chaturthi,45.45,1760.0,550.0,1210,9,2024,1,1,1,3,0,1,1.455,246,2024-09-01,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
41,Coriander Powder 100g,Grocery,22,32,0,41,185,13,2,0.33,0.9,Autumn,Dussehra,45.45,1312.0,410.0,902,10,2023,11,4,2,4,0,1,1.455,172,2023-10-11,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
42,Vim Bar 200g,FMCG,25,32,0,50,280,24,2,0.38,0.98,Autumn,Navratri,28.0,1600.0,350.0,1250,9,2023,16,2,3,3,0,1,1.28,256,2023-09-16,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
43,Saunf 100g,Grocery,22,30,2,30,172,12,4,0.33,0.75,Winter,None,36.36,882.0,222.0,660,11,2024,19,5,3,4,1,0,1.364,160,2024-11-19,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
44,Banyan Vest Cotton,Fashion,75,110,5,30,76,14,5,1.12,0.9,Winter,Republic Day,46.67,3135.0,885.0,2250,1,2024,8,1,2,1,0,1,1.467,62,2024-01-08,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
45,Maggi Noodles 70g,FMCG,12,15,0,374,275,59,4,0.18,0.98,Rainy,Independence Day,25.0,5610.0,1122.0,4488,8,2023,7,0,1,3,0,1,1.25,216,2023-08-07,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
46,Register A4 100pg,Stationery,35,50,0,31,278,14,2,0.53,0.7,Summer,None,42.86,1550.0,465.0,1085,4,2024,6,6,1,2,1,0,1.429,264,2024-04-06,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
47,Hide & Seek 100g,FMCG,32,45,0,72,276,29,3,0.48,0.88,Winter,Makar Sankranti,40.62,3240.0,936.0,2304,1,2024,16,2,3,1,0,1,1.406,247,2024-01-16,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
48,Rajma 500g,Grocery,65,82,5,37,337,13,2,0.97,0.7,Rainy,Janmashtami,26.15,2882.3,477.3,2405,8,2024,20,6,3,3,1,1,1.262,324,2024-08-20,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
49,Sunsilk Shampoo 80ml,FMCG,58,75,0,48,166,19,5,0.87,0.7,Summer,None,29.31,3600.0,816.0,2784,4,2023,9,2,2,2,0,0,1.293,147,2023-04-09,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
50,Surf Excel 1kg,FMCG,130,165,0,76,24,19,3,1.95,0.88,Rainy,None,26.92,12540.0,2660.0,9880,7,2024,16,2,3,3,0,0,1.269,5,2024-07-16,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
51,Dupatta Plain,Fashion,95,150,0,18,272,10,3,1.43,0.75,Winter,Valentine's Day,57.89,2700.0,990.0,1710,2,2023,14,0,2,1,0,1,1.579,262,2023-02-14,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
